platform,item_id,product_name_clean,category_derived,price,original_price,discount_pct,sold_final,sold_source,rating_avg,review_count,has_ratings,is_suspicious,is_authentic,seller_name,url,image_url
Lazada,5162634766,COD 12pcs H&M New style panty High quality Ladies underwear,T-Shirt,68.0,5050.0,98.7,4000,sold_lifetime,4.8,844,True,True,False,,https://www.lazada.com.ph/products/pdp-i5162634766.html,https://img.lazcdn.com/g/p/b3b6e1c71598f40ff23ee0cfbc268916.jpg_200x200q80.jpg
Lazada,3113702399,H&M Panty Imported Overruns 6pcs 12pcs cotton fashion high quality,T-Shirt,99.0,7575.0,98.7,183,sold_lifetime,,52,True,True,False,,https://www.lazada.com.ph/products/pdp-i3113702399.html,https://img.lazcdn.com/g/p/faad0ca826fb9ff46117a15464b2c72c.jpg_200x200q80.jpg
Lazada,5109204795,6pcs H&M Muscles Sando Asorted Color Activewear Stretchable With Printed Brand Logo perfect for Gym&sSumba Everyday Use,T-Shirt,89.0,,,260,sold_lifetime,,45,True,True,False,,https://www.lazada.com.ph/products/pdp-i5109204795.html,https://filebroker-cdn.lazada.com.ph/kf/S6d0841577ed347629f1be26d498886dcz.jpg
Lazada,2185062264,COD H&M panty Printed panty for women good quality 6-12pcs S-M-L-XL-XXL,T-Shirt,99.0,7575.0,98.7,8100,sold_lifetime,,1697,True,True,False,,https://www.lazada.com.ph/products/pdp-i2185062264.html,https://img.lazcdn.com/g/p/2816f7533e8edab19d1869a54de14d34.jpg_200x200q80.jpg
Lazada,3317826452,VNECK BLACK NECK H&M MEN/WOMEN WITH SIZES XS-XXXL,T-Shirt,63.0,,,5700,sold_lifetime,,1567,True,True,False,,https://www.lazada.com.ph/products/pdp-i3317826452.html,https://filebroker-cdn.lazada.com.ph/kf/Sfc73a9d22623464d8ce52e66838a33cct.jpg
Lazada,4975354621,H&M paper bag (8.25 inches X 12 inches; 6 inches expandables),Accessories,20.0,,,474,sold_lifetime,,33,True,True,False,,https://www.lazada.com.ph/products/pdp-i4975354621.html,https://img.lazcdn.com/g/p/1f6ff8afb4570e699559fa2cabfebbd1.jpg_200x200q80.jpg
Lazada,5160148878,H M Women's Basic Crew Neck Loose Fit T-shirt | Runs Big,T-Shirt,184.0,1414.0,87.0,302,sold_lifetime,,107,True,True,False,,https://www.lazada.com.ph/products/pdp-i5160148878.html,https://filebroker-cdn.lazada.com.ph/kf/Sff1d347d56514dbcad963b64bc802019J.jpg
Lazada,2559191030,6 Pcs Bangladesh Overruns H&M Random Print/Color Panty,T-Shirt,120.0,8080.0,98.5,88,sold_lifetime,,22,True,True,False,,https://www.lazada.com.ph/products/pdp-i2559191030.html,https://img.lazcdn.com/g/p/5ae4f0613ca3f64235a8d12afe587665.jpg_200x200q80.jpg
Lazada,5158521189,New Arrivals Overruns H&M leggings Makapal 100% Pure Cotton,T-Shirt,120.0,6060.0,98.0,67,sold_lifetime,,7,True,True,False,,https://www.lazada.com.ph/products/pdp-i5158521189.html,https://filebroker-cdn.lazada.com.ph/kf/Se876aa86825d445cbbd75e9c72f77a55L.jpg
Lazada,4275630446,H&M Jogger Sweatpants for Women with Two Pockets Jogging Pants Sweat Pants Cotton Terry Fabric,Bottoms,99.0,5050.0,98.0,126,sold_lifetime,,17,True,True,False,,https://www.lazada.com.ph/products/pdp-i4275630446.html,https://img.lazcdn.com/g/p/b8d2f72853c913cddce9f5142740caf2.jpg_200x200q80.jpg
Lazada,4985595841,H&M dress Pambata floral design Cotton Makapal,T-Shirt,130.0,3535.0,96.3,41,sold_lifetime,,14,True,True,False,,https://www.lazada.com.ph/products/pdp-i4985595841.html,https://filebroker-cdn.lazada.com.ph/kf/S0464c43a52fb4f80933bf87c49497fc9e.jpg
Lazada,5359537761,H&M panty Printed panty for women good quality 6-12pcs S-M-L-XL-XXL,T-Shirt,199.0,,,22,sold_lifetime,,8,True,True,False,,https://www.lazada.com.ph/products/pdp-i5359537761.html,https://img.lazcdn.com/g/p/8ea5e5a1f8f18397d7786bf44f67fba9.png_200x200q80.png
Lazada,2050498237,INSANNY High quality H&M panty for women cotton panties 6pcs-12pcs,T-Shirt,95.0,8181.0,98.8,1400,sold_lifetime,,295,True,True,False,,https://www.lazada.com.ph/products/pdp-i2050498237.html,https://img.lazcdn.com/g/p/7a0495b84c91fef23dedd1df7340ab67.jpg_200x200q80.jpg
Lazada,5138862871,H M Crew Neck Fitted Cotton T-shirt | True to Size,T-Shirt,208.0,,,142,sold_lifetime,,34,True,True,False,,https://www.lazada.com.ph/products/pdp-i5138862871.html,https://filebroker-cdn.lazada.com.ph/kf/S73ff3fc3694448ab92e27c1ff68e1775T.jpg
Lazada,3251958068,H&M gray long-sleeve baby onesie for 12-24 months. Soft cotton fabric. Snap closure at bottom. Casual wear.,T-Shirt,35.0,7777.0,99.5,0,sold_lifetime,,0,False,True,False,,https://www.lazada.com.ph/products/pdp-i3251958068.html,https://filebroker-cdn.lazada.com.ph/kf/S0c89d1bf2217472191f9be0cf6179ceaa.jpg
Lazada,5158414607,New Arrivals Overruns H&M leggings Makapal Pure Cotton,T-Shirt,120.0,7070.0,98.3,13,sold_lifetime,,4,True,True,False,,https://www.lazada.com.ph/products/pdp-i5158414607.html,https://filebroker-cdn.lazada.com.ph/kf/S7bedc62f0fed4bb7a926b9571a4ea549N.jpg
Lazada,4033751555,(LDC) VNECK BLACK NECK H&M MEN/WOMEN WITH SIZES XS-XXXL,T-Shirt,63.0,,,971,sold_lifetime,,324,True,True,False,,https://www.lazada.com.ph/products/pdp-i4033751555.html,https://img.lazcdn.com/g/p/27262cf69107ea87ee7aaaab6982a15c.jpg_200x200q80.jpg
Lazada,3329706659,#12 PCS H&M PANTY FOR WOMENS GOOD QUALITY COTTON COD,T-Shirt,180.0,5555.0,96.8,27,sold_lifetime,,6,True,True,False,,https://www.lazada.com.ph/products/pdp-i3329706659.html,https://img.lazcdn.com/g/p/ebbebc17748bd6ca0cb1ea6d091acbce.jpg_200x200q80.jpg
Lazada,2664288539,COCOCollections--High Quality H&M Women Floral Print Panty,T-Shirt,149.0,6363.0,97.7,80,sold_lifetime,,13,True,True,False,,https://www.lazada.com.ph/products/pdp-i2664288539.html,https://img.lazcdn.com/g/p/ba94b2b7a851bbca1535d0c5ee48b2d1.jpg_200x200q80.jpg
